Day,Pageviews
2020/1/1,2233197
2020/1/2,2520381
2020/1/3,2451012
2020/1/4,2616472
2020/1/5,2799786
2020/1/6,2437207
2020/1/7,2323921
2020/1/8,2291107
2020/1/9,2288347
2020/1/10,2275806
2020/1/11,2560684
2020/1/12,2785116
2020/1/13,2424973
2020/1/14,2373550
2020/1/15,2322448
2020/1/16,2397036
2020/1/17,2353405
2020/1/18,2604309
2020/1/19,2757795
2020/1/20,2550819
2020/1/21,2424361
2020/1/22,2367993
2020/1/23,2393094
2020/1/24,2382750
2020/1/25,2608144
2020/1/26,2826243
2020/1/27,2507871
2020/1/28,2429683
2020/1/29,2444385
2020/1/30,2414296
2020/1/31,2447244
2020/2/1,2642340
2020/2/2,2896744
2020/2/3,2529685
2020/2/4,2556463
2020/2/5,2561922
2020/2/6,3049144
2020/2/7,2870215
2020/2/8,2987683
2020/2/9,3275316
2020/2/10,2869008
2020/2/11,2779947
2020/2/12,2717536
2020/2/13,2679301
2020/2/14,2499798
2020/2/15,2812557
2020/2/16,3195301
2020/2/17,2983267
2020/2/18,2854225
2020/2/19,2781918
2020/2/20,2843449
2020/2/21,2832387
2020/2/22,3051454
2020/2/23,3291733
2020/2/24,3013264
2020/2/25,2906988
2020/2/26,2839503
2020/2/27,2780077
2020/2/28,2740395
2020/2/29,3026475
2020/3/1,3300397
2020/3/2,2972848
2020/3/3,2866488
2020/3/4,2793858
2020/3/5,2752788
2020/3/6,2715075
2020/3/7,2992903
2020/3/8,3226932
2020/3/9,2906689
2020/3/10,2829285
2020/3/11,2728293
2020/3/12,2620980
2020/3/13,2661721
2020/3/14,3030646
2020/3/15,3390564
2020/3/16,3056794
2020/3/17,3135237
2020/3/18,3227997
2020/3/19,3343440
2020/3/20,3378904
2020/3/21,3837889
2020/3/22,4217839
2020/3/23,4002714
2020/3/24,4132192
2020/3/25,4235602
2020/3/26,4137588
2020/3/27,4197841
2020/3/28,4763662
2020/3/29,5217676
2020/3/30,5108845
2020/3/31,5675350
2020/4/1,6128427
2020/4/2,6047007
2020/4/3,5805151
2020/4/4,6191511
2020/4/5,6396987
2020/4/6,5973201
2020/4/7,5880303
2020/4/8,5800252
2020/4/9,5813406
2020/4/10,6078327
2020/4/11,6118270
2020/4/12,6474238
2020/4/13,6433362
2020/4/14,5994124
2020/4/15,5905654
2020/4/16,5850408
2020/4/17,5852757
2020/4/18,6210172
2020/4/19,6430045
2020/4/20,5916840
2020/4/21,6193891
2020/4/22,6220566
2020/4/23,6165694
2020/4/24,6070402
2020/4/25,6341259
2020/4/26,6774762
2020/4/27,6334426
2020/4/28,6232432
2020/4/29,6210190
2020/4/30,6080806
2020/5/1,6177348
2020/5/2,6290592
2020/5/3,6617433
2020/5/4,6222918
2020/5/5,6063525
2020/5/6,5803389
2020/5/7,5763769
2020/5/8,5694523
2020/5/9,5696322
2020/5/10,5911914
2020/5/11,5682340
2020/5/12,5572122
2020/5/13,5527531
2020/5/14,5394258
2020/5/15,5258811
2020/5/16,5416267
2020/5/17,5778999
2020/5/18,5545795
2020/5/19,5365347
2020/5/20,5149005
2020/5/21,5122110
2020/5/22,5107414
2020/5/23,5264325
2020/5/24,5549548
2020/5/25,5389372
2020/5/26,5067349
2020/5/27,4907530
2020/5/28,4819888
2020/5/29,4593588
2020/5/30,4592968
2020/5/31,4894828
2020/6/1,4682440
2020/6/2,4488234
2020/6/3,4581487
2020/6/4,5149458
2020/6/5,5050540
2020/6/6,4961896
2020/6/7,5252026
2020/6/8,4869742
